iter	Passed	Remaining
571	2591	1939
572	2594	1933
573	2597	1927
574	2599	1921
575	2602	1915
576	2606	1910
577	2609	1905
578	2612	1899
579	2615	1893
580	2617	1887
581	2620	1882
582	2625	1877
583	2627	1871
584	2630	1866
585	2633	1860
586	2636	1855
587	2640	1850
588	2643	1844
589	2646	1839
590	2649	1833
591	2656	1830
592	2659	1825
593	2666	1822
594	2677	1822
595	2680	1817
596	2684	1812
597	2688	1807
598	2690	1801
599	2693	1795
600	2696	1790
601	2699	1784
602	2703	1779
603	2706	1774
604	2708	1768
605	2711	1762
606	2714	1757
607	2718	1752
608	2721	1747
609	2724	1741
610	2726	1736
611	2729	1730
612	2734	1726
613	2736	1720
614	2739	1714
615	2742	1709
616	2745	1703
617	2749	1699
618	2752	1694
619	2755	1688
620	2757	1683
621	2760	1677
622	2764	1673
623	2767	1667
624	2770	1662
625	2773	1656
626	2776	1651
627	2779	1646
628	2783	1641
629	2787	1637
630	2790	1631
631	2795	1627
632	2798	1622
633	2800	1616
634	2803	1611
635	2806	1606
636	2809	1601
637	2813	1596
638	2815	1590
639	2818	1585
640	2821	1580
641	2824	1575
642	2828	1570
643	2831	1565
644	2833	1559
645	2836	1554
646	2839	1549
647	2844	1545
648	2847	1539
649	2849	1534
650	2852	1529
651	2856	1524
652	2859	1519
653	2862	1514
654	2865	1509
655	2868	1504
656	2872	1499
657	2875	1494
658	2880	1490
659	2882	1485
660	2886	1480
661	2891	1476
662	2895	1471
663	2898	1466
664	2903	1462
665	2908	1458
666	2911	1453
667	2915	1448
668	2919	1444
669	2923	1439
670	2926	1434
671	2929	1429
672	2933	1425
673	2937	1420
674	2941	1416
675	2945	1411
676	2949	1407
677	2953	1402
678	2957	1398
679	2961	1393
680	2968	1390
681	2972	1385
682	2975	1381
683	2980	1376
684	2986	1373
685	2990	1369
686	2994	1364
687	2999	1360
688	3003	1355
689	3007	1351
690	3010	1346
691	3015	1342
692	3019	1337
693	3022	1332
694	3026	1328
695	3030	1323
696	3034	1319
697	3038	1314
698	3041	1309
699	3046	1305
700	3049	1300
701	3052	1295
702	3054	1290
703	3058	1285
704	3062	1281
705	3065	1276
706	3068	1271
707	3070	1266
708	3073	1261
709	3076	1256
710	3080	1252
711	3084	1247
712	3086	1242
713	3091	1238
714	3094	1233
715	3097	1228
716	3099	1223
717	3102	1218
718	3105	1213
719	3109	1209
720	3112	1204
721	3115	1199
722	3118	1194
723	3123	1190
724	3126	1185
725	3129	1180
726	3131	1176
727	3136	1171
728	3141	1167
729	3144	1163
730	3147	1158
731	3151	1153
732	3156	1149
733	3160	1145
734	3164	1140
735	3168	1136
736	3172	1132
737	3176	1127
738	3180	1123
739	3184	1118
740	3188	1114
741	3191	1109
742	3195	1105
743	3198	1100
744	3203	1096
745	3206	1091
746	3210	1087
747	3213	1082
748	3216	1078
749	3220	1073
750	3223	1068
751	3226	1064
752	3229	1059
753	3233	1054
754	3236	1050
755	3239	1045
756	3243	1041
757	3246	1036
758	3249	1031
759	3253	1027
760	3256	1022
761	3260	1018
762	3264	1013
763	3267	1009
764	3271	1004
765	3274	1000
766	3278	996
767	3282	991
768	3286	987
769	3290	982
770	3294	978
771	3298	974
772	3301	969
773	3304	964
774	3308	960
775	3311	956
776	3315	951
777	3318	946
778	3322	942
779	3325	938
780	3329	933
781	3332	929
782	3336	924
783	3339	920
784	3343	915
785	3346	911
786	3350	906
787	3353	902
788	3357	897
789	3360	893
790	3363	888
791	3366	884
792	3370	879
793	3373	875
794	3377	870
795	3380	866
796	3384	861
797	3387	857
798	3391	853
799	3394	848
800	3397	844
801	3400	839
802	3404	835
803	3407	830
804	3410	826
805	3413	821
806	3416	817
807	3420	812
808	3423	808
809	3427	803
810	3429	799
811	3433	794
812	3436	790
813	3439	785
814	3442	781
815	3445	776
816	3448	772
817	3452	768
818	3455	763
819	3458	759
820	3461	754
821	3464	750
822	3468	745
823	3471	741
824	3475	737
825	3478	732
826	3482	728
827	3485	723
828	3488	719
829	3491	715
830	3494	710
831	3498	706
832	3501	702
833	3504	697
